id;province_id;city_id;city_name;pinyin;pinyin_first
409;5;150783;扎兰屯市;zha'lan'tun'shi;z'l't's
410;5;150784;额尔古纳市;e'er'gu'na'shi;e'e'g'n's
411;5;150785;根河市;gen'he'shi;g'h's
412;5;150800;巴彦淖尔市;ba'yan'nao'er'shi;b'y'n'e's
413;5;150802;临河区;lin'he'qu;l'h'q
414;5;150821;五原县;wu'yuan'xian;w'y'x
415;5;150822;磴口县;deng'kou'xian;d'k'x
416;5;150823;乌拉特前旗;wu'la'te'qian'qi;w'l't'q'q
417;5;150824;乌拉特中旗;wu'la'te'zhong'qi;w'l't'z'q
418;5;150825;乌拉特后旗;wu'la'te'hou'qi;w'l't'h'q
419;5;150826;杭锦后旗;hang'jin'hou'qi;h'j'h'q
420;5;150900;乌兰察布市;wu'lan'cha'bu'shi;w'l'c'b's
421;5;150902;集宁区;ji'ning'qu;j'n'q
422;5;150921;卓资县;zhuo'zi'xian;z'z'x
423;5;150922;化德县;hua'de'xian;h'd'x
424;5;150923;商都县;shang'dou'xian;s'd'x
425;5;150924;兴和县;xing'he'xian;x'h'x
426;5;150925;凉城县;liang'cheng'xian;l'c'x
427;5;150926;察哈尔右翼前旗;cha'ha'er'you'yi'qian'qi;c'h'e'y'y'q'q
428;5;150927;察哈尔右翼中旗;cha'ha'er'you'yi'zhong'qi;c'h'e'y'y'z'q
429;5;150928;察哈尔右翼后旗;cha'ha'er'you'yi'hou'qi;c'h'e'y'y'h'q
430;5;150929;四子王旗;si'zi'wang'qi;s'z'w'q
431;5;150981;丰镇市;feng'zhen'shi;f'z's
432;5;152200;兴安盟;xing'an'meng;x'a'm
433;5;152201;乌兰浩特市;wu'lan'hao'te'shi;w'l'h't's
434;5;152202;阿尔山市;a'er'shan'shi;a'e's's
435;5;152221;科尔沁右翼前旗;ke'er'qin'you'yi'qian'qi;k'e'q'y'y'q'q
436;5;152222;科尔沁右翼中旗;ke'er'qin'you'yi'zhong'qi;k'e'q'y'y'z'q
437;5;152223;扎赉特旗;zha'lai'te'qi;z'l't'q
438;5;152224;突泉县;tu'quan'xian;t'q'x
439;5;152500;锡林郭勒盟;xi'lin'guo'lei'meng;x'l'g'l'm
440;5;152501;二连浩特市;er'lian'hao'te'shi;e'l'h't's
441;5;152502;锡林浩特市;xi'lin'hao'te'shi;x'l'h't's
442;5;152522;阿巴嘎旗;a'ba'ga'qi;a'b'g'q
443;5;152523;苏尼特左旗;su'ni'te'zuo'qi;s'n't'z'q
444;5;152524;苏尼特右旗;su'ni'te'you'qi;s'n't'y'q
445;5;152525;东乌珠穆沁旗;dong'wu'zhu'mu'qin'qi;d'w'z'm'q'q
446;5;152526;西乌珠穆沁旗;xi'wu'zhu'mu'qin'qi;x'w'z'm'q'q
447;5;152527;太仆寺旗;tai'pu'si'qi;t'p's'q
